customerID,tenure,MonthlyCharges,ChurnProbability,RiskSegment,ActualChurn,AnnualRevenue,ExpectedRevenueAtRisk,RetentionPriorityScore,RetentionPriority
1400-MMYXY,3,105.9,0.89884907,Critical,1,1270.8000000000002,1142.257398247719,95.18811652064323,Urgent
6861-XWTWQ,7,99.25,0.9465406,Critical,1,1191.0,1127.329847574234,93.9441539645195,Urgent
7181-BQYBV,1,102.45,0.89922243,Critical,1,1229.4,1105.5040598273279,92.12533831894397,Urgent
8884-ADFVN,7,101.95,0.9035902,Critical,1,1223.4,1105.4522535324097,92.12102112770081,Urgent
0655-RBDUG,7,98.05,0.92835754,Critical,1,1176.6,1092.3054834008217,91.02545695006847,Urgent
6023-YEBUP,3,100.95,0.89856505,Critical,1,1211.4,1088.5217063426971,90.71014219522476,Urgent
2754-SDJRD,8,100.15,0.89089346,Critical,0,1201.8000000000002,1070.6757594108583,89.22297995090486,Urgent
0295-PPHDO,1,95.45,0.92822933,Critical,1,1145.4,1063.1938768386842,88.599489736557,Urgent
5178-LMXOP,1,95.1,0.9312826,Critical,1,1141.1999999999998,1062.7796801805493,88.56497334837913,Urgent
4587-VVTOX,6,105.3,0.83672553,Critical,1,1263.6,1057.286383509636,88.107198625803,Urgent
4445-ZJNMU,9,99.3,0.87651306,Critical,0,1191.6,1044.4529669523238,87.037747246027,Urgent
9057-SIHCH,3,96.6,0.8930508,Critical,1,1159.1999999999998,1035.2244755744932,86.26870629787444,Urgent
5419-CONWX,4,99.8,0.84362245,Critical,1,1197.6,1010.3222414016723,84.19352011680603,Urgent
3006-XIMLN,2,94.2,0.8909584,Critical,1,1130.4,1007.1394074440003,83.92828395366669,Urgent
6857-VWJDT,1,95.65,0.8744319,Critical,1,1147.8000000000002,1003.6729441523554,83.63941201269627,Urgent
5052-PNLOS,3,105.35,0.7802988,Critical,1,1264.1999999999998,986.4537797212599,82.20448164343833,Urgent
8161-QYMTT,7,94.1,0.86798257,Critical,0,1129.1999999999998,980.1259139299391,81.6771594941616,Urgent
1069-XAIEM,1,85.05,0.94625807,Critical,1,1020.5999999999999,965.7509842872619,80.47924869060516,Urgent
0970-ETWGE,1,89.55,0.8830839,Critical,1,1074.6,948.9619373917578,79.08016144931317,Urgent
2025-JKFWI,13,99.0,0.7979053,Critical,1,1188.0,947.9115271568298,78.99262726306915,Urgent
2027-FECZV,12,106.7,0.73941755,High,1,1280.4,946.7502347946167,78.8958528995514,Urgent
0871-URUWO,13,102.25,0.77053,Critical,1,1227.0,945.4402921199799,78.78669100999832,Urgent
4927-WWOOZ,2,91.45,0.86139965,Critical,0,1097.4,945.2999765396119,78.77499804496766,Urgent
6137-NICCO,6,94.05,0.83384174,Critical,0,1128.6,941.0737889885902,78.42281574904918,Urgent
5167-ZFFMM,1,90.85,0.8619978,Critical,1,1090.1999999999998,939.7499832272528,78.31249860227108,Urgent
3722-WPXTK,1,88.35,0.87686235,Critical,1,1060.1999999999998,929.6494604229925,77.47078836858272,Urgent
8622-ZLFKO,6,90.75,0.85213625,Critical,0,1089.0,927.976380944252,77.33136507868767,Urgent
9221-OTIVJ,14,104.85,0.73565537,High,1,1258.1999999999998,925.6015832304953,77.13346526920795,Urgent
8245-UMPYT,16,96.4,0.7973049,Critical,1,1156.8000000000002,922.3223410606386,76.86019508838655,Urgent
6328-ZPBGN,11,95.15,0.8002429,Critical,1,1141.8000000000002,913.7173441886903,76.14311201572418,Urgent
3320-VEOYC,14,95.6,0.7964422,Critical,0,1147.1999999999998,913.6785040855407,76.13987534046173,Urgent
1731-TVIUK,4,93.5,0.8120164,Critical,1,1122.0,911.0824316740036,75.92353597283363,Urgent
6230-BSUXY,1,85.0,0.88784623,Critical,1,1020.0,905.6031560897827,75.46692967414856,Urgent
8593-WHYHV,3,85.3,0.8833027,Critical,1,1023.5999999999999,904.1486320495604,75.34571933746338,Urgent
2202-CUYXZ,1,84.85,0.8859297,Critical,1,1018.1999999999999,902.0536243200302,75.17113536000251,Urgent
1143-NMNQJ,2,85.7,0.8708338,Critical,1,1028.4,895.565494465828,74.63045787215233,Urgent
4735-ASGMA,26,98.35,0.7552327,Critical,1,1180.1999999999998,891.325622820854,74.27713523507117,Urgent
1628-BIZYP,1,85.0,0.8735348,Critical,0,1020.0,891.005494594574,74.25045788288116,Urgent
4686-UXDML,21,99.85,0.7421072,High,0,1198.1999999999998,889.1928620696067,74.09940517246723,Urgent
2545-EBUPK,2,84.05,0.87952965,Critical,0,1008.5999999999999,887.0936100125311,73.92446750104428,Urgent
6969-MVBAI,9,90.1,0.81401634,Critical,0,1081.1999999999998,880.1144691467283,73.34287242889404,Urgent
3585-ISXZP,8,95.65,0.7655592,Critical,1,1147.8000000000002,878.7088457107545,73.22573714256288,Urgent
2034-GDRCN,2,90.4,0.80541086,Critical,1,1084.8000000000002,873.709703063965,72.80914192199708,Urgent
2865-TCHJW,4,89.2,0.81609416,Critical,1,1070.4,873.547188949585,72.79559907913209,Urgent
2514-GINMM,1,79.5,0.9100737,Critical,1,954.0,868.2103074789047,72.3508589565754,Urgent
4750-ZRXIU,4,84.6,0.85373724,Critical,1,1015.1999999999999,866.7140410423278,72.22617008686065,Urgent
9248-OJYKK,1,76.45,0.93326306,Critical,1,917.4000000000001,856.1755343914033,71.3479611992836,Urgent
2609-IAICY,1,77.15,0.923717,Critical,1,925.8000000000001,855.1772189140321,71.264768242836,Urgent
0235-KGSLC,1,85.55,0.8292175,Critical,1,1026.6,851.2746788620948,70.93955657184124,Urgent
7056-IMHCC,53,101.9,0.695152,High,1,1222.8000000000002,850.0318468809129,70.83598724007607,Urgent
6892-XPFPU,24,104.25,0.6790328,High,1,1251.0,849.4700360298157,70.7891696691513,Urgent
2665-NPTGL,26,98.1,0.7208161,High,0,1177.1999999999998,848.5446844339369,70.71205703616143,Urgent
6630-UJZMY,4,83.25,0.847373,Critical,0,999.0,846.5256357192993,70.54380297660828,Urgent
2254-DLXRI,1,79.15,0.8892313,Critical,0,949.8000000000001,844.5919117212296,70.38265931010247,Urgent
1751-NCDLI,46,98.85,0.7118263,High,0,1186.1999999999998,844.3683860778807,70.36403217315673,Urgent
0952-KMEEH,13,98.15,0.7113301,High,1,1177.8000000000002,837.8046103835107,69.81705086529256,Urgent
9507-EXLTT,1,79.35,0.87934375,Critical,1,952.1999999999999,837.3111169338225,69.77592641115189,Urgent
6821-BUXUX,13,96.65,0.72118473,High,1,1159.8000000000002,836.430050468445,69.70250420570373,Urgent
9611-CTWIH,3,89.45,0.77146316,Critical,1,1073.4,828.0885513782501,69.00737928152084,Urgent
6979-ZNSFF,8,87.05,0.7922772,Critical,1,1044.6,827.6127807855605,68.96773173213005,Urgent
5698-BQJOH,9,94.4,0.7303957,High,1,1132.8000000000002,827.3922203063967,68.94935169219971,Urgent
8739-XNIKG,5,84.0,0.81984997,Critical,0,1008.0,826.4087677001953,68.86739730834961,Urgent
8821-XNHVZ,1,80.05,0.85844505,Critical,1,960.5999999999999,824.6223134279251,68.71852611899375,Urgent
1448-PWKYE,1,80.0,0.8494347,Critical,1,960.0,815.4572868347168,67.95477390289307,Urgent
6372-RFVNS,1,78.8,0.86197543,Critical,1,945.5999999999999,815.0839679718017,67.92366399765014,Urgent
3292-PBZEJ,11,111.4,0.60939384,High,0,1336.8000000000002,814.637678718567,67.88647322654724,Urgent
7952-OBOYL,3,89.85,0.74604446,High,0,1078.1999999999998,804.3851334929465,67.03209445774554,Urgent
7249-WBIYX,10,85.6,0.779248,Critical,1,1027.1999999999998,800.443544769287,66.70362873077391,Urgent
8397-MVTAZ,34,100.05,0.66419345,High,1,1200.6,797.4306577563285,66.45255481302738,Urgent
8709-KRDVL,33,100.0,0.6635379,High,0,1200.0,796.2455034255981,66.35379195213318,Urgent
6651-AZVTJ,49,99.8,0.66080296,High,1,1197.6,791.3776253700256,65.94813544750214,Urgent
5196-SGOAK,1,75.7,0.8700971,Critical,1,908.4000000000001,790.3962063074113,65.8663505256176,Urgent
4415-IJZTP,1,74.5,0.88322353,Critical,1,894.0,789.6018390655518,65.80015325546265,Urgent
9420-LOJKX,15,99.1,0.6614794,High,1,1189.1999999999998,786.6313185453414,65.55260987877845,Urgent
2867-UIMSS,1,80.5,0.8122909,Critical,1,966.0,784.6730160713196,65.3894180059433,Urgent
0432-CAJZV,3,90.7,0.72071147,High,0,1088.4,784.4223635673524,65.36853029727936,Urgent
7180-PISOG,1,74.5,0.8737365,Critical,1,894.0,781.1204316616058,65.09336930513382,Urgent
5331-RGMTT,54,99.05,0.6513825,High,0,1188.6,774.2332465052604,64.5194372087717,Urgent
7218-HKQFK,2,94.2,0.68455166,High,1,1130.4,773.817192220688,64.48476601839066,Urgent
0876-WDUUZ,5,85.4,0.75313884,Critical,1,1024.8000000000002,771.8166834354402,64.31805695295334,Urgent
4713-LZDRV,2,79.6,0.80629176,Critical,1,955.1999999999999,770.1698882102966,64.18082401752471,Urgent
2439-LYPMQ,38,102.6,0.623063,High,0,1231.1999999999998,767.1151998996734,63.92626665830612,Urgent
5382-SOYZL,22,95.1,0.672041,High,0,1141.1999999999998,766.9331879854201,63.911098998785015,Urgent
8258-GSTJK,3,77.0,0.8269941,Critical,1,924.0,764.1425678730011,63.67854732275009,Urgent
8938-UMKPI,47,106.4,0.5984318,High,1,1276.8000000000002,764.0777549743653,63.67314624786377,Urgent
7209-JCUDS,10,94.9,0.6696826,High,1,1138.8000000000002,762.6345698833467,63.55288082361222,Urgent
9741-YLNTD,6,87.95,0.72041106,High,0,1055.4,760.3218350887299,63.36015292406082,Urgent
2452-KDRRH,67,101.4,0.62287825,High,0,1216.8000000000002,757.9182588100434,63.15985490083695,Urgent
3707-GNWHM,1,74.25,0.8491554,Critical,1,891.0,756.597484588623,63.049790382385254,Urgent
4706-AXVKM,11,84.8,0.7433636,High,1,1017.5999999999999,756.4468185424804,63.03723487854004,Urgent
5129-JLPIS,25,105.5,0.595855,High,0,1266.0,754.3524270057678,62.86270225048065,Urgent
5357-TZHPP,9,84.4,0.7440584,High,1,1012.8000000000001,753.5823177337647,62.79852647781372,Urgent
6910-HADCM,1,76.35,0.822279,Critical,1,916.1999999999999,753.3719982147217,62.7809998512268,Urgent
9692-TUSXH,18,96.05,0.65204924,High,1,1152.6,751.5519580006599,62.629329833388326,Urgent
3338-CVVEH,12,94.55,0.66154826,High,0,1134.6,750.5926522493362,62.549387687444685,Urgent
6543-XRMYR,30,99.7,0.61817914,High,1,1196.4,739.5895260572433,61.63246050477028,Urgent
9279-CJEOJ,21,95.4,0.64589584,High,0,1144.8000000000002,739.4215561866762,61.61846301555634,Urgent
2985-FMWYF,23,93.5,0.655038,High,0,1122.0,734.95263504982,61.24605292081833,Urgent
7181-OQCUT,21,103.85,0.5880925,High,0,1246.1999999999998,732.8808808922767,61.073406741023064,Urgent
6899-PPEEA,37,96.55,0.63243395,High,1,1158.6,732.737975513935,61.06149795949459,Urgent
8752-STIVR,4,79.0,0.7694179,Critical,1,948.0,729.4081521034241,60.78401267528534,Urgent
8775-ERLNB,1,74.3,0.81709796,Critical,0,891.5999999999999,728.5245428323746,60.71037856936454,Urgent
8739-WWKDU,25,89.5,0.6772991,High,1,1074.0,727.4192143678665,60.618267863988876,Urgent
7029-RPUAV,17,100.45,0.60274565,High,1,1205.4,726.5496091604233,60.54580076336861,Urgent
4817-VYYWS,30,100.2,0.60214,High,1,1202.4,724.0131473064423,60.33442894220352,Urgent
3519-ZKXGG,3,75.85,0.7939766,Critical,1,910.1999999999999,722.6775058150291,60.22312548458576,Urgent
8443-ZRDBZ,4,76.05,0.7897792,Critical,1,912.5999999999999,720.7524853706359,60.06270711421966,Urgent
3524-WQDSG,43,99.3,0.60362405,High,0,1191.6,719.2784130334853,59.93986775279045,Urgent
8375-DKEBR,1,69.6,0.85330826,Critical,1,835.1999999999999,712.6830591201782,59.390254926681514,Urgent
7495-OOKFY,8,80.65,0.7330618,High,1,967.8000000000001,709.4572008132935,59.121433401107794,Urgent
0390-DCFDQ,1,70.45,0.8356668,Critical,1,845.4000000000001,706.4726921796799,58.87272434830666,Urgent
